"policyID","statecode","county","eq_site_limit","hu_site_limit"
119736,"FL","CLAY COUNTY",498960,498960
448094,"FL","CLAY COUNTY",1322376.3,1322376.3
206893,"FL","CLAY COUNTY",190724.4,190724.4
333743,"FL","CLAY COUNTY",0,79520.76
172534,"FL","CLAY COUNTY",0,254281.5
785275,"FL","CLAY COUNTY",0,515035.62
995932,"FL","CLAY COUNTY",0,19260000
223488,"FL","CLAY COUNTY",328500,328500
433512,"FL","CLAY COUNTY",315000,315000
142071,"FL","CLAY COUNTY",705600,705600
253816,"FL","CLAY COUNTY",831498.3,831498.3
894922,"FL","CLAY COUNTY",0,24059.09
422834,"FL","CLAY COUNTY",0,48115.94
582721,"FL","CLAY COUNTY",0,28869.12
842700,"FL","CLAY COUNTY",0,56135.64
874333,"FL","CLAY COUNTY",0,48115.94
580146,"FL","CLAY COUNTY",0,48115.94
456149,"FL","CLAY COUNTY",0,80192.49
767862,"FL","CLAY COUNTY",0,48115.94
353022,"FL","CLAY COUNTY",0,60946.79
367814,"FL","CLAY COUNTY",0,28869.12
671392,"FL","CLAY COUNTY",0,13410000
772887,"FL","CLAY COUNTY",0,1669113.93
983122,"FL","CLAY COUNTY",0,179562.23
934215,"FL","CLAY COUNTY",0,177744.16
385951,"FL","CLAY COUNTY",0,17757.58
716332,"FL","CLAY COUNTY",0,130129.87
751262,"FL","CLAY COUNTY",0,42854.77
633663,"FL","CLAY COUNTY",0,785.58
105851,"FL","CLAY COUNTY",0,170361.91
710400,"FL","CLAY COUNTY",0,1430.89
703001,"FL","CLAY COUNTY",0,129913.27
352792,"FL","CLAY COUNTY",0,366285.62
717603,"FL","CLAY COUNTY",0,22512.61
937659,"FL","SUWANNEE COUNTY",0,9246.6
294022,"FL","SUWANNEE COUNTY",0,96164.64
410500,"FL","SUWANNEE COUNTY",0,11095.92
524433,"FL","SUWANNEE COUNTY",218475,218475
779298,"FL","SUWANNEE COUNTY",1400904,1400904
491831,"FL","SUWANNEE COUNTY",4365,4365
814637,"FL","SUWANNEE COUNTY",4365,4365
737515,"FL","SUWANNEE COUNTY",39789,39789
222653,"FL","SUWANNEE COUNTY",24867,24867
788543,"FL","SUWANNEE COUNTY",213876,213876
691681,"FL","SUWANNEE COUNTY",69435,69435
368807,"FL","SUWANNEE COUNTY",14922,14922
174002,"FL","SUWANNEE COUNTY",165546,165546
198760,"FL","SUWANNEE COUNTY",72837,72837
831395,"FL","SUWANNEE COUNTY",72837,72837
305698,"FL","SUWANNEE COUNTY",19440,19440
515722,"FL","SUWANNEE COUNTY",9945,9945
415582,"FL","SUWANNEE COUNTY",0,255878.61
783533,"FL","SUWANNEE COUNTY",0,153527.17
640802,"FL","SUWANNEE COUNTY",0,255878.61
403866,"FL","SUWANNEE COUNTY",0,102351.45
828788,"FL","SUWANNEE COUNTY",0,155489.66
751490,"FL","SUWANNEE COUNTY",0,137233.8
972562,"FL","SUWANNEE COUNTY",0,123596.05
367541,"FL","SUWANNEE COUNTY",0,107111.11
481360,"FL","SUWANNEE COUNTY",0,96309.32
920232,"FL","NASSAU COUNTY",0,104031.7
727659,"FL","NASSAU COUNTY",338944.5,338944.5
471817,"FL","NASSAU COUNTY",272349,272349
983043,"FL","NASSAU COUNTY",129690,129690
578286,"FL","NASSAU COUNTY",123210,123210
347276,"FL","NASSAU COUNTY",0,3698.64
477786,"FL","NASSAU COUNTY",2115760.5,2115760.5
265907,"FL","NASSAU COUNTY",0,93548.58
107560,"FL","NASSAU COUNTY",0,1037311.14
908183,"FL","NASSAU COUNTY",0,15463.3
356024,"FL","NASSAU COUNTY",0,13893.35
575299,"FL","NASSAU COUNTY",0,316618.23
790478,"FL","NASSAU COUNTY",0,54834.66
801776,"FL","NASSAU COUNTY",0,295269.11
291781,"FL","NASSAU COUNTY",0,723734.17
537286,"FL","NASSAU COUNTY",0,1741572
289305,"FL","COLUMBIA COUNTY",135450,135450
697409,"FL","COLUMBIA COUNTY",60300,60300
