"policyID","fl_site_limit","fr_site_limit","tiv_2011"
119736,498960,498960,498960
448094,1322376.3,1322376.3,1322376.3
206893,190724.4,190724.4,190724.4
333743,0,0,79520.76
172534,0,254281.5,254281.5
785275,0,0,515035.62
995932,0,0,19260000
223488,328500,328500,328500
433512,315000,315000,315000
142071,705600,705600,705600
253816,831498.3,831498.3,831498.3
894922,0,0,24059.09
422834,0,0,48115.94
582721,0,0,28869.12
842700,0,0,56135.64
874333,0,0,48115.94
580146,0,0,48115.94
456149,0,0,80192.49
767862,0,0,48115.94
353022,0,0,60946.79
367814,0,0,28869.12
671392,0,0,13410000
772887,0,0,1669113.93
983122,0,0,179562.23
934215,0,0,177744.16
385951,0,0,17757.58
716332,0,0,130129.87
751262,0,0,42854.77
633663,0,0,785.58
105851,0,0,170361.91
710400,0,0,1430.89
703001,0,0,129913.27
352792,0,0,366285.62
717603,0,0,22512.61
937659,0,9246.6,9246.6
294022,0,0,96164.64
410500,0,0,11095.92
524433,218475,218475,218475
779298,1400904,1400904,1400904
491831,4365,4365,4365
814637,4365,4365,4365
737515,39789,39789,39789
222653,24867,24867,24867
788543,213876,213876,213876
691681,69435,69435,69435
368807,14922,14922,14922
174002,165546,165546,165546
198760,72837,72837,72837
831395,72837,72837,72837
305698,19440,19440,19440
515722,9945,9945,9945
415582,0,0,255878.61
783533,0,0,153527.17
640802,0,0,255878.61
403866,0,0,102351.45
828788,0,0,155489.66
751490,0,0,137233.8
972562,0,0,123596.05
367541,0,0,107111.11
481360,0,0,96309.32
920232,0,0,104031.7
727659,338944.5,338944.5,338944.5
471817,272349,272349,272349
983043,129690,129690,129690
578286,123210,123210,123210
347276,0,0,3698.64
477786,0,0,2115760.5
265907,0,0,93548.58
107560,0,0,1037311.14
908183,0,0,15463.3
356024,0,0,13893.35
575299,0,0,316618.23
790478,0,0,54834.66
801776,0,0,295269.11
291781,0,0,723734.17
537286,0,1741572,1741572
289305,135450,135450,135450
697409,60300,60300,60300
633944,22500,22500,22500
963511,0,0,34212.42
729649,0,0,460128.2
862584,0,0,32169.69
371891,0,0,50550.75
785595,42300,42300,42300
567696,0,0,10171.26
219025,0,0,155342.88
447216,0,0,3698.64
305141,0,4623.3,4623.3
625575,0,0,33287.76
262109,0,0,21267.18
228457,0,0,729556.74
622799,0,0,350446.14
233271,0,2135964.6,2135964.6
932950,0,4623.3,4623.3
641952,0,2469639.6,2469639.6
796260,0,914073.3,914073.3
301822,0,3042940.5,3042940.5
559927,0,0,234997.65
224400,0,912600,912600
123936,0,1920744.9,1920744.9
333818,0,455754.6,455754.6
254323,0,0,1552693.95
247444,0,8910,8910
882598,0,398968.2,398968.2
386918,0,4500,4500
497337,0,31071.6,31071.6
526844,0,0,4956125.85
623400,0,40500,40500
826170,0,0,135868.99
185483,0,0,36784.23
920003,0,0,1086940.9
274246,0,0,16767.17
423636,0,1404900,1404900
970906,0,0,4696520.5
227898,0,0,67892.48
525138,0,0,86056.32
923627,0,0,67892.48
619743,0,0,67892.48
910727,0,0,86056.32
363647,0,0,67892.48
512519,0,0,101009.36
904304,0,0,67892.48
835349,0,0,67892.48
891725,0,0,86056.32
923503,0,0,86056.32
292347,0,0,132603.34
363828,0,0,132603.34
110490,0,0,91764.15
480733,0,0,457854.5
993346,0,0,385480.82
934992,0,0,213596.46
645841,0,0,1051338.42
747846,0,0,6472.62
482457,0,0,159041.52
574787,0,0,12945.24
831418,0,0,29589.12
968562,0,0,12945.24
576324,29061,29061,29061
290435,48087,48087,48087
526086,128628,128628,128628
119823,128628,128628,128628
497414,128628,128628,128628
340883,4968,4968,4968
892551,157005,157005,157005
670595,459,459,459
194101,459,459,459
167200,1062,1062,1062
139064,2304,2304,2304
846636,1476,1476,1476
310177,185040,185040,185040
865452,0,0,11095.92
783429,0,0,8321.94
878060,0,0,199726.56
935342,0,0,118356.48
456376,0,0,17568.54
363001,0,147945.6,147945.6
478864,0,0,724933.44
600402,0,0,8284485.6
483983,0,0,438498
991615,0,0,99960.9
644573,0,0,669692.78
853278,0,0,240539.39
100658,0,0,331518.28
433115,0,0,5919.86
760337,0,0,77426.73
884738,0,0,765763.8
610102,0,0,7532014.45
830823,0,0,963962.79
618364,0,0,121066.57
712563,0,0,70964.84
493030,0,0,755749
188150,0,2162232,2162232
589642,0,0,615141.68
846109,0,135000,135000
399079,0,161748,161748
680135,0,164484,164484
621379,0,170532,170532
606710,0,181980,181980
443319,0,181980,181980
228591,0,186012,186012
721610,0,192348,192348
507395,0,197604,197604
213399,0,198468,198468
579400,0,198612,198612
509951,0,200052,200052
930798,0,201276,201276
729247,0,207324,207324
288344,0,208836,208836
275351,0,212436,212436
976690,0,218052,218052
507111,0,218412,218412
547458,0,221076,221076
827732,0,226764,226764
229489,0,237132,237132
175251,0,239652,239652
590043,0,245052,245052
476037,0,245052,245052
674960,0,257868,257868
743790,0,6381518.4,6381518.4
817283,0,15390000,15390000
201980,235696.5,235696.5,235696.5
351505,18000,18000,18000
798806,1772074.8,1772074.8,1772074.8
153643,95922,95922,95922
683653,20763,20763,20763
475264,0,0,16560000
912944,0,0,582759.1
945134,0,0,2244.53
219959,0,0,196396.18
793504,0,0,21500.33
450423,0,0,74091.86
505178,0,0,86863.23
408688,0,0,796134.02
477759,0,0,298522.2
882441,0,0,23118.64
727602,0,0,63407.91
313226,0,0,285728.39
337027,0,0,9016.27
649251,0,0,80915.23
142564,0,0,28898.3
197782,0,0,1505741.49
709787,0,0,53078.59
655065,0,0,162952.72
176778,0,0,2261249.55
559179,0,0,1363101.75
698071,0,0,295716.54
642950,0,0,392231.24
477240,0,0,192917.17
672348,0,0,168339.59
922844,0,0,316029.52
948580,0,0,151505.63
364552,0,0,280565.98
561601,0,0,460128.2
584749,0,324000,324000
601327,212850,212850,212850
302578,135000,135000,135000
756585,94284,94284,94284
627591,6300,6300,6300
663563,0,0,1248407.1
108959,0,0,114170.34
951069,0,0,498344.66
490641,0,0,910.22
443968,0,0,3195.34
433688,0,0,172157.99
168578,945000,945000,945000
294375,76500,76500,76500
902110,76500,76500,76500
279816,0,0,431726.4
994565,0,0,11767.98
930535,0,0,15981.99
844642,0,0,35302.09
292887,0,0,26396.15
655128,0,0,7536.5
164038,0,0,13198.07
163057,0,0,29410.75
327730,0,0,13198.07
218187,0,0,25780.36
697530,0,0,9806.65
619053,0,0,15992.1
431406,0,0,9806.65
256801,0,0,13198.07
571398,0,0,304842.43
239669,0,0,13198.07
